datetime,serial msg
02-24-2024 12:19:05,Sending: AT+ADDRESS=1
02-24-2024 12:19:05,Received: +OK
02-24-2024 12:19:06,Sending: AT+BAND=433000000
02-24-2024 12:19:06,Received: +j\xaad\xf8
02-24-2024 12:19:06,Sending: AT+NETWORKID=5
02-24-2024 12:19:06,Received: +OK
02-24-2024 12:19:13,GPS
02-24-2024 12:19:13,GPS
02-24-2024 12:19:13,"AT+SEND=0,3,GPS"
02-24-2024 12:19:13,"Sending: AT+SEND=0,3,GPS"
02-24-2024 12:19:13,Received: +OK
02-24-2024 12:19:13,GPS
02-24-2024 12:19:13,GPS
02-24-2024 12:19:13,"AT+SEND=0,3,GPS"
02-24-2024 12:19:13,"Sending: AT+SEND=0,3,GPS"
02-24-2024 12:19:13,Received: +OK
02-24-2024 12:19:14,GPS
02-24-2024 12:19:14,GPS
02-24-2024 12:19:14,"AT+SEND=0,3,GPS"
02-24-2024 12:19:14,"Sending: AT+SEND=0,3,GPS"
02-24-2024 12:19:14,Received: +OK
02-24-2024 12:19:14,GPS
02-24-2024 12:19:14,GPS
02-24-2024 12:19:14,"AT+SEND=0,3,GPS"
02-24-2024 12:19:14,"Sending: AT+SEND=0,3,GPS"
02-24-2024 12:19:14,Received: +OK
02-24-2024 12:19:15,GPS
02-24-2024 12:19:15,GPS
02-24-2024 12:19:15,"AT+SEND=0,3,GPS"
02-24-2024 12:19:15,"Sending: AT+SEND=0,3,GPS"
02-24-2024 12:19:15,Received: +OK
02-24-2024 12:19:15,GPS
02-24-2024 12:19:15,GPS
02-24-2024 12:19:15,"AT+SEND=0,3,GPS"
02-24-2024 12:19:15,"Sending: AT+SEND=0,3,GPS"
02-24-2024 12:19:15,Received: +OK
02-24-2024 12:19:16,GPS
02-24-2024 12:19:16,GPS
02-24-2024 12:19:16,"AT+SEND=0,3,GPS"
02-24-2024 12:19:16,"Sending: AT+SEND=0,3,GPS"
02-24-2024 12:19:16,Received: +OK
02-24-2024 12:19:16,GPS
02-24-2024 12:19:16,GPS
02-24-2024 12:19:16,"AT+SEND=0,3,GPS"
02-24-2024 12:19:16,"Sending: AT+SEND=0,3,GPS"
02-24-2024 12:19:16,Received: +OK
02-24-2024 12:19:17,GPS
02-24-2024 12:19:17,GPS
02-24-2024 12:19:17,"AT+SEND=0,3,GPS"
02-24-2024 12:19:17,"Sending: AT+SEND=0,3,GPS"
02-24-2024 12:19:17,Received: +OK
02-24-2024 12:19:17,GPS
02-24-2024 12:19:17,GPS
02-24-2024 12:19:17,"AT+SEND=0,3,GPS"
02-24-2024 12:19:17,"Sending: AT+SEND=0,3,GPS"
02-24-2024 12:19:17,Received: +OK
02-24-2024 12:19:18,GPS
02-24-2024 12:19:18,GPS
02-24-2024 12:19:18,"AT+SEND=0,3,GPS"
02-24-2024 12:19:18,"Sending: AT+SEND=0,3,GPS"
02-24-2024 12:19:18,Received: +OK
02-24-2024 12:19:18,GPS
02-24-2024 12:19:18,GPS
02-24-2024 12:19:18,"AT+SEND=0,3,GPS"
02-24-2024 12:19:18,"Sending: AT+SEND=0,3,GPS"
02-24-2024 12:19:18,Received: +OK
02-24-2024 12:19:19,GPS
02-24-2024 12:19:19,GPS
02-24-2024 12:19:19,"AT+SEND=0,3,GPS"
02-24-2024 12:19:19,"Sending: AT+SEND=0,3,GPS"
02-24-2024 12:19:19,Received: +OK
02-24-2024 12:19:19,GPS
02-24-2024 12:19:19,GPS
02-24-2024 12:19:19,"AT+SEND=0,3,GPS"
02-24-2024 12:19:19,"Sending: AT+SEND=0,3,GPS"
02-24-2024 12:19:19,Received: +OK
02-24-2024 12:19:20,GPS
02-24-2024 12:19:20,GPS
02-24-2024 12:19:20,"AT+SEND=0,3,GPS"
02-24-2024 12:19:20,"Sending: AT+SEND=0,3,GPS"
02-24-2024 12:19:20,Received: +OK
02-24-2024 12:19:20,GPS
02-24-2024 12:19:20,GPS
02-24-2024 12:19:20,"AT+SEND=0,3,GPS"
02-24-2024 12:19:20,"Sending: AT+SEND=0,3,GPS"
02-24-2024 12:19:20,Received: +OK
02-24-2024 12:19:21,GPS
02-24-2024 12:19:21,GPS
02-24-2024 12:19:21,"AT+SEND=0,3,GPS"
02-24-2024 12:19:21,"Sending: AT+SEND=0,3,GPS"
02-24-2024 12:19:21,Received: +OK
02-24-2024 12:19:21,GPS
02-24-2024 12:19:21,GPS
02-24-2024 12:19:21,"AT+SEND=0,3,GPS"
02-24-2024 12:19:21,"Sending: AT+SEND=0,3,GPS"
02-24-2024 12:19:21,Received: +OK
02-24-2024 12:19:22,GPS
02-24-2024 12:19:22,GPS
02-24-2024 12:19:22,"AT+SEND=0,3,GPS"
02-24-2024 12:19:22,"Sending: AT+SEND=0,3,GPS"
02-24-2024 12:19:22,Received: +OK
02-24-2024 12:19:22,GPS
02-24-2024 12:19:22,GPS
02-24-2024 12:19:22,"AT+SEND=0,3,GPS"
02-24-2024 12:19:22,"Sending: AT+SEND=0,3,GPS"
02-24-2024 12:19:22,Received: +OK
02-24-2024 12:19:23,GPS
02-24-2024 12:19:23,GPS
02-24-2024 12:19:23,"AT+SEND=0,3,GPS"
02-24-2024 12:19:23,"Sending: AT+SEND=0,3,GPS"
02-24-2024 12:19:23,Received: +OK
02-24-2024 12:19:23,GPS
02-24-2024 12:19:23,GPS
02-24-2024 12:19:23,"AT+SEND=0,3,GPS"
02-24-2024 12:19:23,"Sending: AT+SEND=0,3,GPS"
02-24-2024 12:19:23,Received: +OK
02-24-2024 12:19:24,GPS
02-24-2024 12:19:24,GPS
02-24-2024 12:19:24,"AT+SEND=0,3,GPS"
02-24-2024 12:19:24,"Sending: AT+SEND=0,3,GPS"
02-24-2024 12:19:24,Received: +OK
02-24-2024 12:19:24,GPS
02-24-2024 12:19:24,GPS
02-24-2024 12:19:24,"AT+SEND=0,3,GPS"
02-24-2024 12:19:24,"Sending: AT+SEND=0,3,GPS"
02-24-2024 12:19:24,Received: +OK
02-24-2024 12:19:25,GPS
02-24-2024 12:19:25,GPS
02-24-2024 12:19:25,"AT+SEND=0,3,GPS"
02-24-2024 12:19:25,"Sending: AT+SEND=0,3,GPS"
02-24-2024 12:19:25,Received: +OK
