Time,Altitude,Pressure,Velocity,Temperature,Events,Voltages
0.00,3.062368E-06,1016.90,0,77.9, -,8.712564
0.05,8.168256,1016.60,7.761905,77.9, -,8.712564
0.10,19.05953,1016.20,18.14286,77.9, -,8.712564
0.15,24.5073,1016.00,23.33333,77.9, -,8.712564
0.20,32.67974,1015.70,31.09524,77.9, -,8.712564
0.25,40.85415,1015.40,38.85714,77.9, -,8.712564
0.30,51.7575,1015.00,49.23809,77.9, -,8.712564
0.35,59.93647,1014.70,57.04762,77.9, -,8.712564
0.40,73.573,1014.20,70.04762,77.9, -,8.712564
0.45,84.4868,1013.80,80.42857,77.9, -,8.712564
0.50,92.67361,1013.50,88.2381,77.9, -,8.712564
0.55,100.8624,1013.20,96.04762,77.9, -,8.693115
0.60,117.2475,1012.60,111.6667,77.9, -,8.693115
0.65,125.4421,1012.30,119.4762,77.9, -,8.693115
0.70,136.3709,1011.90,129.9048,77.9, -,8.693115
0.75,147.3048,1011.50,140.3333,77.9, -,8.693115
0.80,163.7105,1010.90,155.9524,77.9, -,8.693115
0.85,177.3885,1010.40,169,77.9, -,8.693115
0.90,188.3355,1010.00,179.4286,77.9, -,8.693115
0.95,199.2861,1009.60,189.8571,77.9, -,8.693115
1.00,218.4555,1008.90,208.0952,77.9, -,8.693115
1.05,232.1555,1008.40,221.1429,77.9, -,8.693115
1.10,248.6037,1007.80,229.0476,77.9, -,8.693115
1.15,259.572,1007.40,229.0952,77.9, -,8.693115
1.20,276.0334,1006.80,239.5714,77.9, -,8.693115
1.25,287.0105,1006.40,242.2857,77.9, -,8.693115
1.30,300.738,1005.90,247.619,77.9, -,8.693115
1.35,314.4711,1005.40,250.3333,77.9, -,8.693115
1.40,330.959,1004.80,258.2381,77.9, -,8.693115
1.45,347.4533,1004.20,260.9524,77.9, -,8.693115
1.50,369.4587,1003.40,271.5238,77.9, -,8.693115
1.55,388.7256,1002.70,282.0476,77.9, -,8.693115
1.60,402.4942,1002.20,287.3333,77.9, -,8.693115
1.65,419.0248,1001.60,287.4762,77.9, -,8.693115
1.70,435.5618,1001.00,295.4286,77.9, -,8.693115
1.75,446.592,1000.60,295.5238,77.9, -,8.693115
1.80,463.1423,1000.00,300.8571,77.9, -,8.693115
1.85,482.4623,999.30,303.619,77.9, -,8.693115
1.90,504.555,998.50,311.619,77.9, -,8.693115
1.95,521.1335,997.90,317,77.9, -,8.693115
2.00,540.4865,997.20,325,77.9, -,8.693115
2.05,557.0842,996.60,322.5714,77.9, -,8.693115
2.10,579.2254,995.80,330.619,77.9, -,8.693115
2.15,593.0712,995.30,328.1429,77.9, -,8.693115
2.20,609.6929,994.70,333.5238,77.9, -,8.693115
2.25,626.3243,994.10,333.7143,77.9, -,8.693115
2.30,637.4148,993.70,333.8095,77.9, -,8.693115
2.35,659.6083,992.90,341.8571,77.9, -,8.693115
2.40,679.0402,992.20,347.2857,77.9, -,8.693115
2.45,695.7056,991.60,347.4286,77.9, -,8.693115
2.50,715.1564,990.90,350.2381,77.9, -,8.693115
2.55,740.1833,990.00,353.1429,77.9, -,8.712564
2.60,762.444,989.20,356,77.9, -,8.712564
2.65,776.3645,988.70,356.1429,77.9, -,8.712564
2.70,793.0777,988.10,356.2857,77.9, -,8.712564
2.75,807.0108,987.60,353.8095,77.9, -,8.712564
2.80,820.9496,987.10,356.5714,77.9, -,8.712564
2.85,837.683,986.50,356.7619,77.9, -,8.712564
2.90,862.8004,985.60,362.2857,77.9, -,8.712564
2.95,879.5544,985.00,357.1905,77.9, -,8.712564
3.00,899.1124,984.30,360,77.9, -,8.712564
3.05,918.6816,983.60,360.1905,77.9, -,8.712564
3.10,929.8679,983.20,355.0476,77.9, -,8.712564
3.15,949.4549,982.50,352.619,77.9, -,8.712564
3.20,969.0532,981.80,358.0952,77.9, -,8.712564
3.25,988.6628,981.10,360.9524,77.9, -,8.712564
3.30,1008.282,980.40,363.7619,77.9, -,8.712564
3.35,1025.11,979.80,369.2381,77.9, -,8.712564
3.40,1047.558,979.00,369.4762,77.9, -,8.712564
3.45,1070.021,978.20,372.3333,77.9, -,8.712564
3.50,1095.311,977.30,380.5714,77.9, -,8.693115
3.55,1114.994,976.60,380.8095,77.9, -,8.693115
3.60,1129.059,976.10,370.3333,77.9, -,8.693115
3.65,1145.945,975.50,365.2381,77.9, -,8.693115
3.70,1165.657,974.80,370.7619,77.9, -,8.693115
3.75,1185.381,974.10,373.619,77.9, -,8.693115
3.80,1207.936,973.30,381.8095,77.9, -,8.693115
3.85,1230.505,972.50,390,77.9, -,8.693115
3.90,1247.442,971.90,390.1905,77.9, -,8.693115
3.95,1264.389,971.30,382.4286,77.9, -,8.693115
4.00,1284.17,970.60,385.3333,77.9, -,8.693115
4.05,1301.133,970.00,382.8571,77.9, -,8.693115
4.10,1323.765,969.20,385.8095,77.9, -,8.693115
4.15,1343.581,968.50,394,77.9, -,8.693115
4.20,1360.574,967.90,391.5238,77.9, -,8.693115
4.25,1377.578,967.30,389.0476,77.9, -,8.693115
4.30,1388.916,966.90,381.1905,77.9, -,8.693115
4.35,1408.77,966.20,381.4286,77.9, -,8.693115
4.40,1428.636,965.50,384.2857,77.9, -,8.693115
4.45,1448.513,964.80,381.8571,77.9, -,8.693115
4.50,1465.559,964.20,376.7143,77.9, -,8.693115
4.55,1482.616,963.60,368.8571,77.9, -,8.693115
4.60,1499.679,963.00,366.3333,77.9, -,8.693115
4.65,1513.905,962.50,366.5238,77.9, -,8.693115
4.70,1536.68,961.70,372.0952,77.9, -,8.693115
4.75,1553.772,961.10,369.619,77.9, -,8.693115
4.80,1568.021,960.60,364.4286,77.9, -,8.693115
4.85,1585.128,960.00,359.2381,77.9, -,8.693115
4.90,1605.097,959.30,356.7619,77.9, -,8.693115
4.95,1622.222,958.70,356.9524,77.9, -,8.693115
5.00,1642.214,958.00,359.8571,77.9, -,8.693115
5.05,1659.358,957.40,357.3333,77.9, -,8.693115
5.10,1670.793,957.00,352.0952,77.9, -,8.693115
5.15,1687.952,956.40,346.8571,77.9, -,8.693115
5.20,1705.121,955.80,344.3333,77.9, -,8.693115
5.25,1722.297,955.20,344.5238,77.9, -,8.693115
5.30,1748.078,954.30,352.9048,77.9, -,8.693115
5.35,1762.41,953.80,355.7619,77.9, -,8.693115
5.40,1773.878,953.40,347.7619,77.9, -,8.693115
5.45,1791.091,952.80,345.2381,77.9, -,8.693115
5.50,1808.311,952.20,342.6667,77.9, -,8.693115
5.55,1822.668,951.70,340.0952,77.9, -,8.693115
5.60,1845.651,950.90,345.7619,77.9, -,8.693115
