datetime,serial msg
12-31-2023 10:14:32,"<LORA>+RCV=7,7,Alt:0.0,-17,10\r</LORA>"
datetime,serial msg
12-31-2023 10:14:43,"<LORA>+RCV=7,7,Alt:0.0,-19,10\r</LORA>"
datetime,serial msg
12-31-2023 10:14:52,"<LORA>+RCV=7,7,Alt:0.0,-18,11\r</LORA>"
datetime,serial msg
12-31-2023 10:15:03,"<LORA>+RCV<7,7,Alt:0.0,-20,11\r</LORA>"
datetime,serial msg
12-31-2023 10:15:23,"<LORA>+RCV=7,7,Alt:0.0,-18,10\r</LORA>"
datetime,serial msg
12-31-2023 10:15:26,"<LORA>+RCV=7,8,GPS FAIL,-16,10\r</LORA>"
datetime,serial msg
12-31-2023 10:15:43,"<LORA>+RCV=7,7,Alt:0.0,-19,10\r</LORA>"
datetime,serial msg
12-31-2023 10:16:08,"<LORA>+RCV=7,7,Alt:0.0,-22,11\r</LORA>"
datetime,serial msg
12-31-2023 10:16:19,"<LORA>+RCV=7,7,Alt:0.0,-26,11\r</LORA>"
datetime,serial msg
12-31-2023 10:16:28,"<LORA>+RCV=7,7,Alt:0.0,-23,11\r</LORA>"
datetime,serial msg
12-31-2023 10:16:39,"<LORA>+RCV=7,7,@lt:0.0,-29,11\r</LORA>"
datetime,serial msg
12-31-2023 10:16:50,"<LORA>+RCV=7,7,Alt:0.0,-30,11\x0c</LORA>"
datetime,serial msg
12-31-2023 10:16:59,"<LORA>+RCV=7,7,Alt:0'0,-30,11\r</LORA>"
datetime,serial msg
12-31-2023 10:17:42,"<LORA>+RCVO\x13\tb:AM\x812\x05%L,-20,10\r</LORA>"
datetime,serial msg
12-31-2023 10:17:49,"<LORA>+RCV=7,7,Alt:0.0,-23,11\r</LORA>"
datetime,serial msg
12-31-2023 10:18:10,"<LORA>+RCV=7,7,Alt:0.0,-20,11\r</LORA>"
datetime,serial msg
12-31-2023 10:18:21,"<LORA>+RCV=7,7,Alt:0.0,-20,10\r</LORA>"
datetime,serial msg
12-31-2023 10:18:30,"<LORA>+RCV=7,7,Alt:0.0,-21,11\r</LORA>"
datetime,serial msg
12-31-2023 10:18:41,"<LORA>+RCV=7,7,Alt:0.0,-25,11\r</LORA>"
datetime,serial msg
