datetime,serial msg
2024-03-16 12:46:33.251635,Sending: AT+ADDRESS=1
2024-03-16 12:46:33.656009,Received: +OK
2024-03-16 12:46:34.341700,Sending: AT+BAND=433000000
2024-03-16 12:46:34.356701,Received: +j\xabH\xf8
2024-03-16 12:46:34.367706,Sending: AT+NETWORKID=5
2024-03-16 12:46:34.376700,Received: +OK
2024-03-16 12:46:41.432805,GPS:SINGLE
2024-03-16 12:46:41.436262,GPS:SINGLE
2024-03-16 12:46:41.637363,"AT+SEND=7,10,GPS:SINGLE"
2024-03-16 12:46:41.654360,"Sending: AT+SEND=7,10,GPS:SINGLE"
2024-03-16 12:46:41.700446,Received: +OK
2024-03-16 12:46:44.327122,"<LORA>+RCV=7,14,GPS:SINGLE+SCV,-87,7</LORA>"
2024-03-16 12:46:45.405883,GPS:SINGLE
2024-03-16 12:46:45.531986,GPS:SINGLE
2024-03-16 12:46:45.736796,"AT+SEND=7,10,GPS:SINGLE"
2024-03-16 12:46:45.767818,"Sending: AT+SEND=7,10,GPS:SINGLE"
2024-03-16 12:46:45.827765,Received: +OK
2024-03-16 12:46:55.437962,GPS:SINGLE
2024-03-16 12:46:55.469502,GPS:SINGLE
2024-03-16 12:46:55.499199,"AT+SEND=7,10,GPS:SINGLE"
2024-03-16 12:46:55.505201,"Sending: AT+SEND=7,10,GPS:SINGLE"
2024-03-16 12:46:55.742404,Received: +OK
2024-03-16 12:46:57.967083,"<LORA>+RCV=7,14,GPS:SINGLE+RCV,-87.9</LORA>"
2024-03-16 12:47:00.893691,"<LORA>+RCV=7,38,GPS:A,2805/3699,N,08210.5401,W,-87,3</LORA>"
2024-03-16 12:47:15.361401,GPS:REPEAT
2024-03-16 12:47:15.797199,GPS:REPEAT
2024-03-16 12:47:16.343058,"AT+SEND=7,10,GPS:REPEAT"
2024-03-16 12:47:17.198719,"Sending: AT+SEND=7,10,GPS:REPEAT"
2024-03-16 12:47:17.544851,Received: +OK
2024-03-16 12:47:28.592110,GPS:REPEAT
2024-03-16 12:47:28.731130,GPS:REPEAT
2024-03-16 12:47:28.965830,"AT+SEND=7,10,GPS:REPEAT"
2024-03-16 12:47:29.703495,"Sending: AT+SEND=7,10,GPS:REPEAT"
2024-03-16 12:47:29.735148,Received: +OK
2024-03-16 12:47:31.767477,"<LORA>+RCV=7,14,GPS:REPEAT+RCW,-72,10</LORA>"
2024-03-16 12:47:34.261354,"<LORA>+RCV=7,30,GPS:A,2805/3700,N,08210.5400,W,-76,10</LORA>"
2024-03-16 12:47:38.001322,"<LORA>+RCV=7,30,GPS:A,2805.3677,N,08210.51q9,W,-74,10\x0c</LORA>"
2024-03-16 12:47:40.839717,"<LORA>+RCV=7,30,GPS:A,2805.3667,N,08310.5399,W,-79,9</LORA>"
2024-03-16 12:47:43.342210,"<LORA>+RCV=7,30,GPS:A,2805/3667,N,082Lr\xaa\xa2\x82\x82b\xba\xc5\xa9\xe9S\x11)j</LORA>"
2024-03-16 12:47:45.345744,"<LORA>+RCV=7,30,GPS:A,2805.3676,N,08210.5400,W,-76,10\x0c</LORA>"
2024-03-16 12:47:48.040470,"<LORA>+RCW=7,30,GPS:PI\xc2\x82\xaar\x9a\xb2\xb2\xb2br\xb1\x82\xc2\x92\x8a\x82r\xaa\xa2\x82\x82b\xbb\xb1j\xb2\xbab\x8a\x8aj</LORA>"
2024-03-16 12:47:50.329187,"<LORA>+SCV=7,30,GPS;A,2805.3666,N,08210.5400,W,-69,11</LORA>"
2024-03-16 12:47:53.085419,"<LORA>+RCW=7,30,GPS:A.2805.3666,N,08210.5400,W,-73,11</LORA>"
2024-03-16 12:47:56.075237,"<LORA>+RCV=7,30,GPS:@,2805.3666,O,08210.5400,W,-74,10</LORA>"
2024-03-16 12:47:57.837258,"<LORA>+RCW=7,30,GPS:A,2805.3666,N,08210.5400,W,-91,-1</LORA>"
2024-03-16 12:48:00.461916,"<LORA>+RCV=7,30,GPS:A,2805.3666,N,08310.5401,W,-77,11</LORA>"
2024-03-16 12:48:03.039917,"<LORA>+RCV=7,30,GPS:A,2805/3666,N,08210.5401,W,-71,10</LORA>"
