datetime,serial msg
2024-03-16 16:20:42.525108,Sending: AT+ADDRESS=1
2024-03-16 16:20:43.122480,Received: +OK
2024-03-16 16:20:44.978535,Sending: AT+BAND=433000000
2024-03-16 16:20:45.774635,Received: +j\xabH\xf8
2024-03-16 16:20:46.616769,Sending: AT+NETWORKID=5
2024-03-16 16:20:46.989796,Received: +OK
2024-03-16 16:20:49.583304,GPS:SINGLE
2024-03-16 16:20:50.002955,GPS:SINGLE
2024-03-16 16:20:50.517924,"AT+SEND=7,10,GPS:SINGLE"
2024-03-16 16:20:51.817091,"Sending: AT+SEND=7,10,GPS:SINGLE"
2024-03-16 16:20:52.542160,Received: +OK
2024-03-16 16:25:12.100666,GPS:SINGLE
2024-03-16 16:25:12.273082,GPS:SINGLE
2024-03-16 16:25:12.664200,"AT+SEND=7,10,GPS:SINGLE"
2024-03-16 16:25:15.040008,"Sending: AT+SEND=7,10,GPS:SINGLE"
2024-03-16 16:25:15.431861,Received: +OK
2024-03-16 16:25:19.007624,GPS:REPEAT
2024-03-16 16:25:19.385587,GPS:REPEAT
2024-03-16 16:25:19.772386,"AT+SEND=7,10,GPS:REPEAT"
2024-03-16 16:25:20.368639,"Sending: AT+SEND=7,10,GPS:REPEAT"
2024-03-16 16:25:20.494448,Received: +OK
2024-03-16 16:25:21.336129,GPS:SINGLE
2024-03-16 16:25:21.574218,GPS:SINGLE
2024-03-16 16:25:23.078481,"AT+SEND=7,10,GPS:SINGLE"
2024-03-16 16:25:24.575046,"Sending: AT+SEND=7,10,GPS:SINGLE"
2024-03-16 16:25:26.003702,Received: +OK
