Time,Altitude,Distance,Status,AltTrigger State
1816105,19.386837005615234,43,0,0
1817473,19.23571014404297,43,0,0
1818836,19.229663848876953,43,0,0
1820202,19.22361946105957,46,0,0
1821566,19.233190536499023,43,0,0
1824299,19.208003997802734,45,0,0
1825669,19.252838134765625,46,0,0
1827035,19.293642044067383,44,0,0
1828402,19.22916030883789,46,0,0
1829768,19.233190536499023,45,0,0
1831135,19.215055465698242,46,0,0
1832500,19.3112735748291,47,0,0
1833862,19.23067283630371,45,0,0
1835223,19.352581024169922,44,0,0
1836591,19.259889602661133,43,0,0
1839323,19.484567642211914,43,0,0
1840691,29.210786819458008,44,0,0
1842058,87.36830139160156,45,0,0
1843425,201.2026824951172,47,0,0
1844790,377.9784240722656,47,0,0
1846157,559.6970825195312,45,0,0
1847524,706.33349609375,43,0,0
1848890,830.5128173828125,44,0,0
1850257,935.052001953125,44,0,1
1852926,1073.760986328125,42,0,1
1854292,1117.7667236328125,43,0,1
1859745,1116.0689697265625,41,0,2
1861042,1090.390869140625,45,0,2
1867885,920.1611938476562,45,0,2
1871991,829.5978393554688,47,0,2
1874726,764.9765625,46,0,2
1877465,702.1370849609375,44,0,2
1878837,667.2118530273438,45,0,2
1880205,630.2265625,45,0,2
1881567,600.93505859375,44,0,2
1882929,567.9074096679688,42,0,2
1884292,536.5608520507812,44,0,2
1888393,453.7041015625,44,0,2
1895215,303.578857421875,42,0,2
1896588,261.6397399902344,46,0,2
1897955,230.5021209716797,45,0,2
1899325,216.85704040527344,43,0,2
1900682,210.28521728515625,40,0,2
1903423,194.12742614746094,44,0,2
1904784,187.84542846679688,42,0,2
1906439,182.72625732421875,42,1,3
1907840,291.60882568359375,221,1,3
1911245,174.45114135742188,621,2,3
1915078,134.22854614257812,620,2,3
1916391,125.65658569335938,622,2,3
