time, acc_x, acc_y, acc_z, linacc_x, linacc_y, linacc_z, grav_x, grav_y, grav_z, eurl_x, eurl_y, eurl_z, eurl_w, gyro_x, gyro_y, gyro_z, velocity_x, velocity_y, velocity_z, temp, pressure, altitude 
12079 , 0.04 , -1.44 , 9.64 , -0.07 , -0.09 , -0.07 , 0.11 , -1.34 , 9.71 , -0.07 , -0.00 , -0.04 , 1.00 , 1.25 , 2.31 , 5.00 , 362 , 2295 , 483 , 23.38 , 85618.57 , 26.68
12134 , 0.06 , -1.26 , 9.66 , -0.04 , 0.07 , -0.04 , 0.10 , -1.34 , 9.71 , -0.07 , -0.00 , -0.04 , 1.00 , 0.12 , 0.06 , 4.19 , 2 , 0 , 0 , 26.83 , 101005.14 , 26.75
12182 , 0.53 , -2.18 , 9.13 , 0.43 , -0.87 , -0.57 , 0.09 , -1.31 , 9.71 , -0.07 , -0.00 , -0.04 , 1.00 , 4.75 , -0.69 , 6.81 , 0 , 24 , 16 , 26.84 , 101003.74 , 26.78
12231 , 0.16 , -1.61 , 10.00 , -0.03 , -0.13 , -0.11 , 0.07 , -1.28 , 9.72 , -0.07 , -0.00 , -0.03 , 1.00 , -5.69 , 8.88 , 0.19 , 2 , 16 , 0 , 26.88 , 101003.14 , 26.88
12285 , 0.46 , -1.80 , 10.53 , 0.40 , -0.43 , 0.82 , 0.06 , -1.38 , 9.70 , -0.07 , -0.00 , -0.03 , 1.00 , -11.44 , 0.94 , -3.12 , 20 , 0 , 6 , 26.91 , 101001.21 , 27.01
12343 , -0.19 , -1.65 , 9.31 , -0.25 , -0.19 , -0.38 , 0.06 , -1.46 , 9.69 , -0.08 , -0.00 , -0.04 , 1.00 , -15.12 , 2.06 , -3.88 , 0 , 6 , 2 , 26.93 , 101001.66 , 26.97
12392 , 0.00 , -1.28 , 9.76 , -0.04 , 0.00 , -0.27 , 0.04 , -1.55 , 9.68 , -0.08 , 0.00 , -0.04 , 1.00 , -15.94 , 0.25 , -0.50 , 0 , 3 , 0 , 26.95 , 101001.28 , 26.99
12441 , 0.01 , -1.57 , 9.82 , -0.03 , 0.11 , 0.16 , 0.04 , -1.73 , 9.65 , -0.09 , 0.00 , -0.04 , 1.00 , -26.00 , 0.19 , -5.56 , 0 , 34 , 0 , 26.97 , 101001.46 , 27.01
12498 , -0.15 , -0.64 , 9.70 , -1.19 , 3.71 , -2.32 , 0.01 , -1.67 , 9.66 , -0.09 , 0.00 , -0.05 , 1.00 , 47.50 , 19.88 , -42.88 , 17 , 0 , 86 , 26.97 , 101001.68 , 27.00
12544 , -0.81 , -0.96 , 11.91 , -0.87 , 0.59 , 2.23 , 0.05 , -1.56 , 9.68 , -0.08 , 0.00 , -0.07 , 0.99 , -7.88 , 5.75 , -25.19 , 4 , 0 , 2 , 26.98 , 101001.45 , 26.97
